LAYER,LETTER,LL,LR,LM,LI,RI,RM,RR,RL,Total_Occurances
0,q,0,7,0,0,0,1,0,0,8
0,w,0,23,0,1,1,1,0,1,27
0,e,1,0,61,0,0,2,2,3,69
0,r,0,0,2,28,1,1,0,0,32
0,t,0,0,0,46,1,0,0,1,48
0,y,0,0,0,2,12,6,0,1,21
0,u,0,1,0,0,11,17,1,0,30
0,i,0,0,0,0,1,34,5,3,43
0,o,0,0,0,2,2,22,43,0,69
0,p,0,0,0,1,0,2,11,0,14
1,a,36,10,0,0,1,0,0,3,50
1,s,1,31,3,0,1,0,0,2,38
1,d,0,0,8,10,0,0,0,1,19
1,f,0,0,0,14,0,0,0,1,15
1,g,0,0,1,10,2,0,0,1,14
1,h,1,0,1,0,33,1,0,0,36
1,j,0,0,0,0,9,0,0,0,9
1,k,0,0,0,0,0,14,4,0,18
1,l,0,0,1,2,0,2,27,0,32
2,z,5,3,0,0,0,0,0,0,8
2,x,0,2,6,0,0,0,0,0,8
2,c,0,0,8,10,0,0,0,1,19
2,v,0,0,0,14,0,0,0,0,14
2,b,0,0,0,0,15,1,0,0,16
2,n,0,0,0,2,34,4,0,2,42
2,m,0,0,0,0,21,2,0,1,24
