"LAYER","LETTER","LL","LR","LM","LI","RI","RM","RR","RL","Total_Occurances"
"0","q","0","9","0","0","0","0","0","0","9"
"0","w","0","9","0","0","0","0","0","0","9"
"0","e","0","0","8","0","0","0","0","0","8"
"0","r","0","0","0","9","0","0","0","0","9"
"0","t","0","0","0","9","0","0","0","0","9"
"0","y","0","0","0","0","9","0","0","0","9"
"0","u","0","0","0","0","9","0","0","0","9"
"0","i","0","0","0","0","1","7","0","0","8"
"0","o","0","0","0","0","0","9","0","0","9"
"0","p","0","0","0","0","0","7","2","0","9"
"1","a","9","0","0","0","0","0","0","0","9"
"1","s","0","9","0","0","0","0","0","0","9"
"1","d","0","0","8","0","0","0","0","0","8"
"1","f","0","0","0","8","0","0","0","0","8"
"1","g","0","0","0","8","0","0","0","0","8"
"1","h","0","0","0","0","8","0","0","0","8"
"1","j","0","0","0","0","9","0","0","0","9"
"1","k","0","0","0","0","0","9","0","0","9"
"1","l","0","0","0","0","0","0","9","0","9"
"2","z","0","9","0","0","0","0","0","0","9"
"2","x","0","8","1","0","0","0","0","0","9"
"2","c","0","0","5","3","0","0","0","0","8"
"2","v","0","0","0","9","0","0","0","0","9"
"2","b","0","0","0","0","8","0","0","0","8"
"2","n","0","0","0","0","8","1","0","0","9"
"2","m","0","0","0","0","1","8","0","0","9"
